price,rating,review_count,review_sentiment,review_subjectivity,title_length,word_count,brand_CHERRY,brand_CLAVIER,brand_CORSAIR,brand_GLORIOUS,brand_LOGITECH,brand_MARS,brand_OTHER,brand_RAZER,brand_STEELSERIES,brand_THE,brand_TRUST,is_mechanical,is_wireless,is_rgb,is_azerty,price_log,is_successful
197.83,4.5,300,0.26,0.0,106,19,False,False,False,False,False,False,True,False,False,False,False,0,1,0,0,5.2924501882699895,1
158.49,3.5,5,0.17777777777777773,0.0,192,30,False,False,False,True,False,False,False,False,False,False,False,1,0,1,0,5.071981224334663,0
10.49,4.6,212,0.21600000000000003,0.4392857142857143,78,11,False,False,False,False,False,False,True,False,False,False,False,0,0,0,1,2.4414770918606643,1
24.18,4.4,152,0.27699999999999997,0.0,189,21,False,False,False,False,False,True,False,False,False,False,False,1,0,1,1,3.2260500286162013,1
10.49,4.4,5676,0.3972727272727273,1.0,161,19,False,False,False,False,True,False,False,False,False,False,False,0,0,1,1,2.4414770918606643,1
16.1,4.4,45,0.278,0.0,189,21,False,False,False,False,False,True,False,False,False,False,False,1,0,1,1,2.8390784635086144,1
58.98,4.5,6441,0.366,0.43333333333333335,196,37,False,False,True,False,False,False,False,False,False,False,False,0,0,1,1,4.094011173320863,1
171.98,4.275574712643678,0,0.0,0.0,140,25,False,False,False,False,False,False,False,True,False,False,False,0,1,1,1,5.153175980878366,0
289.0,4.275574712643678,0,0.0,0.0,176,22,False,False,False,False,True,False,False,False,False,False,False,1,0,0,0,5.66988092298052,0
199.95,4.275574712643678,0,0.0,0.0,131,17,False,False,False,False,False,False,True,False,False,False,False,1,0,1,0,5.30305612089521,0
39.9,4.6,6,0.124,0.0,179,27,False,False,True,False,False,False,False,False,False,False,False,0,0,1,1,3.711130063048756,0
24.9,4.2,839,0.20666666666666667,0.0,183,26,False,False,False,False,False,False,False,False,False,True,False,0,0,1,1,3.254242968705492,1
39.48,3.7,18,0.48,0.0,99,16,False,False,False,False,False,False,True,False,False,False,False,0,0,0,0,3.70080802497921,0
60.94,4.6,14,-0.025,0.0,169,31,False,False,False,False,False,False,False,True,False,False,False,0,0,1,1,4.126166174545057,0
239.7,4.0,1,0.235,0.5166666666666667,185,29,False,False,False,False,False,False,False,True,False,False,False,1,1,0,0,5.483551344789026,0
39.64,4.275574712643678,0,0.0,0.0,143,20,False,False,False,False,False,False,True,False,False,False,False,1,0,1,0,3.7047528032702264,0
24.9,4.275574712643678,0,0.0,0.0,101,17,False,False,False,False,False,False,True,False,False,False,False,1,0,0,0,3.254242968705492,0
44.9,4.5,157,0.3225,0.0,182,25,False,False,False,False,False,False,True,False,False,False,False,1,0,1,1,3.8264651170664994,1
59.99,4.275574712643678,0,0.0,0.0,136,22,False,False,False,False,False,False,True,False,False,False,False,1,0,1,0,4.110709916308365,0
227.41,4.275574712643678,0,0.0,0.0,62,9,False,False,False,False,False,False,False,True,False,False,False,1,0,0,0,5.431142259660542,0
17.99,4.275574712643678,0,0.0,0.0,93,16,False,False,False,False,False,False,True,False,False,False,False,1,0,0,0,2.9439125248241944,0
